"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Nell22",3.20923691141189e-24,1.51893062745098,0.525,0.231,5.62803877154303e-20,"6","Nell2"
"Sfta3-ps",1.44422659130582e-23,1.32312256908428,0.411,0.147,2.53274017317301e-19,"6","Sfta3-ps"
"Gm32647",5.66441805028247e-23,0.641086505985699,0.753,0.411,9.93368993478037e-19,"6","Gm32647"
"Kcnip11",7.57629085428624e-23,1.00702174187758,0.758,0.459,1.32865412711618e-18,"6","Kcnip1"
"Zmat4",4.60036390586224e-22,1.04603579257654,0.598,0.294,8.06765818171062e-18,"6","Zmat4"
"Kcnip41",5.85642613463588e-22,0.725190949306264,0.977,0.922,1.02704145123109e-17,"6","Kcnip4"
"Cntnap21",3.01316634114134e-21,0.632039804417146,1,0.977,5.28418981245956e-17,"6","Cntnap2"
"Rbfox13",4.53735212048415e-20,0.621486088453203,0.986,0.891,7.95715441369306e-16,"6","Rbfox1"
"Cntnap5b2",1.07431527542474e-19,1.05249774525403,0.621,0.348,1.88402669851237e-15,"6","Cntnap5b"
"Dab12",8.90816995656344e-19,0.784440310412618,0.9,0.766,1.56222576528253e-14,"6","Dab1"
"Oprm1",1.15387035102719e-17,1.51047981566692,0.384,0.164,2.02354243459639e-13,"6","Oprm1"
"Ptprt1",3.63207681983909e-17,0.817641539491586,0.749,0.474,6.36957311895181e-13,"6","Ptprt"
"Slco3a12",2.00036479591827e-16,1.08295604929334,0.562,0.319,3.50803974260187e-12,"6","Slco3a1"
"Cacnb21",8.56383005448206e-16,0.784857639838809,0.826,0.629,1.50183887665452e-11,"6","Cacnb2"
"Prkcb",1.67596897834329e-15,0.897201168280964,0.731,0.524,2.93914679732063e-11,"6","Prkcb"
"Dlgap2",2.25717266887616e-15,0.603074501138967,0.927,0.744,3.95840370940812e-11,"6","Dlgap2"
"Galnt182",2.63678740436231e-15,1.13739186436821,0.42,0.201,4.62413407103018e-11,"6","Galnt18"
"Lima1",2.70506344749486e-15,1.7361281031809,0.26,0.095,4.74386976787174e-11,"6","Lima1"
"Lrp1b1",3.23886730594962e-15,0.548607343547516,0.986,0.928,5.68000159444385e-11,"6","Lrp1b"
"Pbx31",4.84996030608283e-15,1.0691162387967,0.402,0.185,8.50537538877747e-11,"6","Pbx3"
"Runx1t1",7.98758625739506e-15,1.1886723693119,0.411,0.198,1.40078300195937e-10,"6","Runx1t1"
"Dscaml12",1.33216839407464e-14,0.750442872435002,0.735,0.493,2.3362237126887e-10,"6","Dscaml1"
"Ppp1r9a1",3.81170531417305e-14,0.670839799707756,0.84,0.662,6.68458760946529e-10,"6","Ppp1r9a"
"Grik2",4.87229092994323e-14,0.518299146431936,0.968,0.857,8.54453660384143e-10,"6","Grik2"
"Ctnnd21",1.24230443009457e-13,0.506563140535514,0.977,0.919,2.17862927905684e-09,"6","Ctnnd2"
"Lrrc7",3.85627893598529e-13,0.547161330290718,0.932,0.87,6.76275637003739e-09,"6","Lrrc7"
"Klhl1",6.89771442322795e-13,1.10073014774783,0.429,0.226,1.20965217840149e-08,"6","Klhl1"
"Sv2c2",1.17983573489089e-12,1.16917835303586,0.338,0.157,2.06907792827816e-08,"6","Sv2c"
"Kcnt21",3.727746437389e-12,1.16862481159451,0.42,0.232,6.53734892724908e-08,"6","Kcnt2"
"Spock31",1.60990242808162e-11,0.722234756345195,0.712,0.535,2.82328588812674e-07,"6","Spock3"
"Dgkk",4.97078411477496e-11,1.3419313041697,0.256,0.108,8.71726410208086e-07,"6","Dgkk"
"Camk41",5.92056286914357e-11,0.956759687475328,0.447,0.259,1.03828911036171e-06,"6","Camk4"
"Trpc7",7.26846381597777e-11,0.830935286469219,0.493,0.284,1.27467049940802e-06,"6","Trpc7"
"Cacna2d31",1.06376625876789e-10,0.849690341239007,0.543,0.334,1.86552688800125e-06,"6","Cacna2d3"
"Frmpd3",1.72312238169852e-10,1.02688510934574,0.425,0.24,3.02183972078469e-06,"6","Frmpd3"
"Lsamp2",5.3799590264795e-10,0.279385461000335,1,0.99,9.43483414473711e-06,"6","Lsamp"
"Nkain21",9.38708900835394e-10,0.276880550617456,0.995,0.947,1.64621379939503e-05,"6","Nkain2"
"Syndig12",1.8132759395426e-09,0.928976248903329,0.347,0.181,3.17994201517586e-05,"6","Syndig1"
"Med12l",2.32363435424415e-09,0.741762791290468,0.58,0.405,4.07495756703797e-05,"6","Med12l"
"Gm15155",6.11630974695464e-09,1.0840514066012,0.269,0.129,0.000107261724032344,"6","Gm15155"
"Nrxn31",9.16953728747443e-09,0.310266176841815,1,0.944,0.000160806175410439,"6","Nrxn3"
"Zfp385b",1.68540767676045e-08,0.578673662705508,0.644,0.474,0.00029556994427348,"6","Zfp385b"
"Kif26b1",2.0157979439016e-08,0.812749384783809,0.429,0.263,0.000353510485422024,"6","Kif26b"
"Galnt13",2.93569532066179e-08,0.445166595416514,0.868,0.753,0.000514832888384458,"6","Galnt13"
"Anks1b2",2.98278585865853e-08,0.39098747199807,0.973,0.934,0.000523091156032947,"6","Anks1b"
"Pacrg1",3.40835509498653e-08,0.866216620030035,0.406,0.243,0.000597723233007788,"6","Pacrg"
"Tafa5",3.60400815446012e-08,0.561703931193537,0.717,0.554,0.000632034910047671,"6","Tafa5"
"Ntrk3",4.24935616028238e-08,0.46658338575411,0.84,0.751,0.00074520958982872,"6","Ntrk3"
"Nbea1",5.12828258773828e-08,0.302436947820955,0.968,0.964,0.000899346917411662,"6","Nbea"
